[2023-01-27T21:42:32.079] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:43:13.293] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:43:22.302] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:55:43.786] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:55:50.692] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:56:55.670] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:58:56.438] [WARN] default - { rute: '/user/style.css', method: 'GET' }
[2023-01-27T21:58:57.061] [WARN] default - { rute: '/user/index.js', method: 'GET' }
[2023-01-27T21:58:57.368] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T21:58:58.617] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T22:00:11.153] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-01-27T22:00:24.554] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:53:10.973] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:53:17.688] [WARN] default - { rute: '/graphql', method: 'GET' }
[2023-02-07T19:53:18.059] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:53:59.107] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:04.535] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:14.522] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:15.117] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:15.422] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:15.926] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:16.698] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:16.824] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:17.322] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:19.335] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:20.441] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:20.701] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:21.071] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:24.719] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:24.869] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:25.040] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:25.245] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:25.441] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:25.681] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:27.736] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:27.937] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:28.300] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:30.162] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:30.741] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:32.437] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:33.106] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:33.445] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:33.691] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:34.671] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:35.003] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:35.327] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:36.450] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:36.986] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:37.250] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:54:38.750] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:04.779] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:06.043] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:06.512] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:06.943] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:07.510] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:07.701] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:09.848] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:23.377] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:23.626] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:25.362] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:26.439] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:26.708] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T19:55:27.801] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:36.928] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:43.508] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:50.141] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:52.917] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:53.170] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:53.609] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:54.762] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:00:58.440] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:00.003] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:02.152] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:02.510] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:02.791] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:05.029] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:05.612] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:05.918] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:06.744] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:06.966] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:01:07.198] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
